epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.699,1.6231,1.75967,1.37575,0.04061,0.04188,0.00469,0.00261,3.80201,8.72765,2.81521,0.00333045,0.00333045,0.00333045
2,871.492,1.5586,1.28067,1.31431,0.04572,0.04712,0.00418,0.00185,3.78822,9.01294,2.80688,0.00659781,0.00659781,0.00659781
3,1264.78,1.69843,1.5033,1.417,0.03447,0.04145,0.00661,0.00445,3.84411,8.82058,2.88024,0.00979917,0.00979917,0.00979917
4,1681.82,1.76594,1.59615,1.48826,0.03107,0.03447,0.00329,0.00158,3.79818,8.53901,2.87311,0.009703,0.009703,0.009703
5,2106.38,1.66015,1.39527,1.42076,0.04063,0.05017,0.00446,0.00242,3.792,9.05693,2.84714,0.009604,0.009604,0.009604
6,2540.6,1.58764,1.29193,1.38255,0.0479,0.04494,0.00427,0.00218,3.96439,12.7165,3.07142,0.009505,0.009505,0.009505
7,2959.52,1.54678,1.21322,1.35265,0.0502,0.05061,0.00508,0.00265,3.83804,10.7657,3.00712,0.009406,0.009406,0.009406
8,3389.92,1.50173,1.15838,1.32985,0.05909,0.05672,0.00642,0.00338,3.70306,9.67895,2.8353,0.009307,0.009307,0.009307
