epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.099,1.84089,3.3877,1.62492,0,0,0,0,nan,nan,nan,0.000666131,0.000666131,0.000666131
2,353.063,1.68439,2.50321,1.46344,0,0,0,0,nan,nan,nan,0.0010689,0.0010689,0.0010689
3,512.687,1.6532,2.09267,1.43376,0,0,0,0,nan,nan,nan,0.00120768,0.00120768,0.00120768
4,673.046,1.626,1.95393,1.41242,0,0,0,0,nan,nan,nan,0.000812,0.000812,0.000812
5,831.489,1.61745,1.90172,1.39968,0,0,0,0,nan,nan,nan,0.000416,0.000416,0.000416
