epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1343.86,1.52127,1.32877,1.43398,0.00345,0.00602,0.00045,0.00011,4.01408,7.96206,3.34528,0.000665513,0.000665513,0.000665513
2,3500.6,1.52752,1.32183,1.43543,0.00573,0.01204,0.00127,0.0003,3.97143,7.83294,3.52105,0.00106841,0.00106841,0.00106841
3,5241.44,1.48829,1.23694,1.40783,0.00437,0.01435,0.0006,0.00015,3.95982,8.58893,3.50179,0.0012073,0.0012073,0.0012073
4,6644.96,1.41484,1.13094,1.36493,0.00382,0.0088,0.0008,0.00018,3.87749,8.41132,3.52136,0.000812,0.000812,0.000812
5,7817.85,1.33511,0.98101,1.30821,0.0012,0.01944,0.00068,0.00015,3.94687,9.23402,3.52326,0.000416,0.000416,0.000416
