epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.099,1.72377,1.78145,1.46856,0.01897,0.01204,0.00111,0.00023,4.1742,9.53342,3.34998,0.000665513,0.000665513,0.000665513
2,595.591,1.6676,1.46939,1.43197,0.02447,0.01574,0.00146,0.00041,4.07886,9.395,3.1207,0.00106841,0.00106841,0.00106841
3,2196.69,1.58882,1.30315,1.37252,0.00272,0.02593,0.00076,0.00022,4.07555,9.0124,3.38932,0.0012073,0.0012073,0.0012073
4,2647.27,1.48635,1.14668,1.30629,0.00337,0.0088,0.00074,0.00017,4.18617,11.1993,3.38458,0.000812,0.000812,0.000812
5,2908.71,1.37446,0.97594,1.23836,0.00316,0.00509,0.00059,0.00013,4.24983,12.826,3.47112,0.000416,0.000416,0.000416
