epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.226,1.66447,0.88505,1.50826,0.02928,0.04712,0.00775,0.00474,3.9191,5.0331,3.00413,0.0670143,0.000333189,0.000333189
2,941.213,1.61263,0.81547,1.48764,0.03905,0.04407,0.00518,0.00305,3.77824,4.77808,3.01171,0.0339921,0.000644316,0.000644316
3,1386.91,1.56997,0.76997,1.46146,0.03812,0.04276,0.00505,0.00263,3.80629,5.10302,2.97704,0.000947656,0.000933232,0.000933232
4,1828.49,1.51793,0.70318,1.41761,0.03409,0.03578,0.00448,0.00229,3.82989,5.63085,3.04326,0.00090005,0.00090005,0.00090005
5,2272.51,1.46669,0.64842,1.38004,0.0467,0.05017,0.00534,0.00308,3.86709,6.26524,3.21953,0.000866733,0.000866733,0.000866733
6,2737.82,1.4191,0.60715,1.35255,0.04577,0.05148,0.00512,0.0028,3.81314,6.25962,3.1001,0.000833417,0.000833417,0.000833417
