epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19903.3,1.6467,2.28465,1.40073,0.04824,0.02923,0.00393,0.00183,3.71364,8.71886,2.75109,0.00333045,0.00333045,0.00333045
2,37420.4,1.5545,1.28548,1.30665,0.04389,0.03621,0.00371,0.00175,3.76681,9.08181,2.80157,0.00659781,0.00659781,0.00659781
3,58746.6,1.68725,1.48065,1.40005,0.02739,0.02007,0.00672,0.00497,3.90723,9.29498,3.06908,0.00979917,0.00979917,0.00979917
4,80753.4,1.75704,1.59145,1.48447,0.02831,0.03534,0.00384,0.00226,3.7068,7.25875,2.66019,0.009703,0.009703,0.009703
5,105552,1.64974,1.3867,1.42614,0.03732,0.04625,0.00432,0.0022,3.81739,10.011,2.98086,0.009604,0.009604,0.009604
6,105986,1.59424,1.27919,1.38876,0.0461,0.0445,0.00486,0.00232,3.93447,10.5428,2.88191,0.009505,0.009505,0.009505
7,106375,1.54205,1.19898,1.35093,0.04371,0.05541,0.00544,0.00254,3.97435,10.3811,2.73457,0.009406,0.009406,0.009406
8,106759,1.49848,1.14661,1.32709,0.04863,0.05105,0.00541,0.00303,3.81063,9.63492,2.84133,0.009307,0.009307,0.009307
